log_id,student_id,date,study_hour,subject,method_used,distraction_time,quiz_score,day_name
1,1066,2025-11-03,3.5,Computer,Pomodoro,9.0,86,Monday
2,1066,2025-11-04,4.41,English,Notes Review,18.3,66,Tuesday
3,1066,2025-11-05,2.08,Computer,Flashcards,20.0,69,Wednesday
4,1066,2025-11-06,3.13,Computer,Notes Review,43.7,95,Thursday
5,1066,2025-11-07,1.92,English,Notes Review,18.7,50,Friday
6,1113,2025-11-03,1.35,Science,Group Study,40.6,60,Monday
7,1113,2025-11-04,3.19,Science,Pomodoro,56.8,78,Tuesday
8,1113,2025-11-05,4.26,History,Practice Test,9.3,64,Wednesday
9,1113,2025-11-06,2.16,English,Practice Test,28.0,99,Thursday
10,1113,2025-11-07,3.0,Math,Notes Review,8.5,88,Friday
11,1165,2025-11-03,4.02,Math,Flashcards,23.5,96,Monday
12,1165,2025-11-04,2.41,Computer,Practice Test,46.9,73,Tuesday
13,1165,2025-11-05,3.35,Math,Notes Review,52.2,82,Wednesday
14,1165,2025-11-06,4.74,Science,Practice Test,30.7,98,Thursday
15,1165,2025-11-07,3.75,Math,Practice Test,48.8,85,Friday
16,1214,2025-11-03,1.6,Computer,Practice Test,26.0,55,Monday
17,1214,2025-11-04,2.83,Computer,Practice Test,54.0,75,Tuesday
18,1214,2025-11-05,1.42,History,Notes Review,19.1,73,Wednesday
19,1214,2025-11-06,4.28,Science,Pomodoro,19.8,92,Thursday
20,1214,2025-11-07,2.54,Science,Pomodoro,22.0,70,Friday
21,1328,2025-11-03,1.83,Computer,Practice Test,32.2,99,Monday
22,1328,2025-11-04,4.74,Math,Notes Review,38.3,75,Tuesday
23,1328,2025-11-05,1.3,History,Flashcards,19.8,77,Wednesday
24,1328,2025-11-06,2.86,Math,Group Study,9.4,96,Thursday
25,1328,2025-11-07,3.72,Computer,Pomodoro,46.0,94,Friday
26,1363,2025-11-03,2.93,Math,Pomodoro,14.5,91,Monday
27,1363,2025-11-04,4.32,Computer,Flashcards,52.1,79,Tuesday
28,1363,2025-11-05,3.98,Science,Pomodoro,52.4,52,Wednesday
29,1363,2025-11-06,2.38,Math,Group Study,53.5,75,Thursday
30,1363,2025-11-07,2.62,Science,Practice Test,9.2,76,Friday
31,1383,2025-11-03,3.37,English,Notes Review,55.3,66,Monday
32,1383,2025-11-04,1.31,English,Notes Review,23.3,67,Tuesday
33,1383,2025-11-05,4.85,Science,Practice Test,28.3,65,Wednesday
