Log_id,Student_id,Date,Day_name,Study_hour,Subject,Method_used,Distraction_time,Quiz_score
1,250001,2025-11-13,Thursday,2.37,English,Notes Review,29.6,80
2,250001,2025-11-14,Friday,1.89,Math,Videos,16.2,83
3,250001,2025-11-17,Monday,1.81,Science,Notes Review,34.4,71
4,250001,2025-11-18,Tuesday,1.8,Computer,Notes Review,34.8,60
5,250001,2025-11-19,Wednesday,2.11,English,Videos,23.6,76
6,250001,2025-11-20,Thursday,2.04,English,Notes Review,15.9,75
7,250001,2025-11-21,Friday,1.85,English,Pomodoro,27.4,71
8,250001,2025-11-24,Monday,1.83,Math,Videos,27.2,80
9,250001,2025-11-25,Tuesday,1.81,Science,Notes Review,33.8,73
10,250001,2025-11-26,Wednesday,1.98,Computer,Videos,17.0,79
11,250002,2025-11-13,Thursday,2.17,Science,Pomodoro,31.7,62
12,250002,2025-11-14,Friday,1.96,Science,Notes Review,28.3,61
13,250002,2025-11-17,Monday,1.92,Science,Notes Review,26.4,77
14,250002,2025-11-18,Tuesday,2.04,English,Notes Review,33.5,75
15,250002,2025-11-19,Wednesday,1.92,Math,Pomodoro,15.9,67
16,250002,2025-11-20,Thursday,1.96,Computer,Pomodoro,31.6,84
17,250002,2025-11-21,Friday,1.88,Math,Videos,31.0,60
18,250002,2025-11-24,Monday,2.05,Computer,Videos,22.9,67
19,250002,2025-11-25,Tuesday,2.29,English,Pomodoro,29.1,62
20,250002,2025-11-26,Wednesday,2.16,Computer,Videos,33.5,68
21,250003,2025-11-13,Thursday,1.36,Science,Pomodoro,37.4,42
22,250003,2025-11-14,Friday,1.58,English,Pomodoro,50.9,46
23,250003,2025-11-17,Monday,1.31,Math,Pomodoro,59.3,22
24,250003,2025-11-18,Tuesday,1.45,English,Pomodoro,54.3,58
25,250003,2025-11-19,Wednesday,1.57,English,Videos,37.8,32
26,250003,2025-11-20,Thursday,1.72,Computer,Notes Review,46.9,51
27,250003,2025-11-21,Friday,1.11,English,Pomodoro,50.1,34
28,250003,2025-11-24,Monday,1.18,Computer,Notes Review,36.9,41
29,250003,2025-11-25,Tuesday,1.5,Computer,Notes Review,42.4,25
30,250003,2025-11-26,Wednesday,1.71,Math,Videos,43.1,47
31,250004,2025-11-13,Thursday,1.22,Math,Videos,51.2,32
32,250004,2025-11-14,Friday,1.01,Science,Pomodoro,47.8,28
33,250004,2025-11-17,Monday,1.55,English,Videos,41.7,43
34,250004,2025-11-18,Tuesday,1.26,Science,Videos,48.0,31
35,250004,2025-11-19,Wednesday,1.4,English,Pomodoro,42.5,36
36,250004,2025-11-20,Thursday,1.78,Math,Pomodoro,45.3,42
37,250004,2025-11-21,Friday,1.51,Computer,Notes Review,52.0,45
38,250004,2025-11-24,Monday,1.19,Computer,Videos,51.8,30
39,250004,2025-11-25,Tuesday,1.19,Computer,Notes Review,55.1,24
40,250004,2025-11-26,Wednesday,1.51,Math,Pomodoro,48.4,35
41,250005,2025-11-13,Thursday,1.91,Computer,Videos,15.8,79
42,250005,2025-11-14,Friday,1.93,Computer,Videos,29.2,78
43,250005,2025-11-17,Monday,1.9,Science,Pomodoro,28.8,66
44,250005,2025-11-18,Tuesday,2.21,English,Videos,29.7,77
45,250005,2025-11-19,Wednesday,2.33,Science,Pomodoro,20.2,75
46,250005,2025-11-20,Thursday,2.11,Computer,Notes Review,20.2,60
47,250005,2025-11-21,Friday,2.34,Math,Pomodoro,33.0,82
48,250005,2025-11-24,Monday,2.01,Computer,Notes Review,29.5,62
49,250005,2025-11-25,Tuesday,2.27,Math,Notes Review,27.8,70
50,250005,2025-11-26,Wednesday,2.2,Science,Pomodoro,26.6,75
51,250006,2025-11-13,Thursday,1.8,Science,Notes Review,18.2,77
52,250006,2025-11-14,Friday,2.07,Math,Pomodoro,34.9,63
53,250006,2025-11-17,Monday,2.1,Computer,Videos,18.6,83
54,250006,2025-11-18,Tuesday,2.23,Computer,Videos,21.2,75
55,250006,2025-11-19,Wednesday,2.02,Science,Notes Review,20.3,73
56,250006,2025-11-20,Thursday,2.39,English,Videos,24.7,67
57,250006,2025-11-21,Friday,2.28,Computer,Pomodoro,25.1,74
58,250006,2025-11-24,Monday,1.92,Computer,Videos,29.4,78
59,250006,2025-11-25,Tuesday,2.26,Computer,Notes Review,15.9,71
